name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Worthington, MN Micro Area",161000,62973,10420,9140,107,7,495,107,564,22194,11933,5472,327,4462
"Yakima, WA Metro Area",254700,64910,105896,97114,237,267,1453,1104,5721,256143,155314,50435,2375,48019
"Yankton, SD Micro Area",190400,68847,11674,10558,27,27,322,97,643,23311,14541,8003,157,610
"Yauco, PR Metro Area",91600,19166,22668,21109,27,8,395,464,665,85638,0,3111,82252,275
"York-Hanover, PA Metro Area",220700,79183,225878,197775,1630,427,3203,2184,20659,457051,296967,129941,10280,19863
"Youngstown-Warren-Boardman, OH-PA Metro Area",130400,54650,232676,207677,1899,297,3982,3638,15183,540328,420331,104721,5418,9858
"Yuba City, CA Metro Area",365300,70176,75189,67649,456,198,1100,752,5034,180806,118632,27027,3371,31776
"Yuma, AZ Metro Area",173500,56439,77216,69825,624,317,1130,787,4533,204374,78716,72024,3098,50536
"Zanesville, OH Micro Area",156100,56810,38989,36211,75,10,860,167,1666,86393,75765,9554,318,756
"Zapata, TX Micro Area",84800,35061,4669,4129,0,0,203,25,312,13896,9901,679,286,3030
