name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Grand Rapids, MN Micro Area",198500,63962,18780,16390,184,75,344,334,1453,45054,35919,8656,157,322
"Grand Rapids-Kentwood, MI Metro Area",239900,76898,545270,468714,6445,1989,12009,4250,51863,1087068,839396,166297,9773,71602
"Grants, NM Micro Area",101900,49866,8842,7676,84,0,161,181,740,27211,20179,6173,39,820
"Grants Pass, OR Metro Area",353800,56068,32841,27795,122,214,711,449,3550,87994,31781,51829,841,3543
"Great Bend, KS Micro Area",113200,54634,12256,10855,0,12,404,51,934,25477,19505,4722,142,1108
"Great Falls, MT Metro Area",227600,61351,40313,35995,374,219,826,369,2530,84423,49249,32506,1403,1265
"Greeley, CO Metro Area",412200,89182,166155,141863,631,334,2852,1653,18822,331466,174059,122717,4536,30154
"Green Bay, WI Metro Area",220000,74208,168896,148399,810,248,2931,1307,15201,328011,252604,56745,3297,15365
"Greeneville, TN Micro Area",166500,51975,28512,26347,22,16,294,310,1523,70399,45836,22946,366,1251
"Greensboro-High Point, NC Metro Area",188800,59567,362024,314918,3706,514,5679,4925,32282,775169,457943,237665,9679,69882
"Greensburg, IN Micro Area",174400,71566,13135,11696,7,0,368,84,980,26432,21842,3985,213,392
"Greenville, MS Micro Area",93000,38394,16403,15343,107,13,344,127,469,44604,38536,5630,80,358
"Greenville, NC Metro Area",178700,54915,80221,69862,607,60,1721,654,7317,171196,115710,44634,2140,8712
"Greenville, OH Micro Area",157800,60237,24358,22173,49,17,464,367,1288,51751,41614,9583,127,427
"Greenville-Anderson, SC Metro Area",221100,66226,435936,381611,1648,766,6275,6783,38853,931405,528766,333509,9862,59268
"Greenwood, MS Micro Area",97500,35452,13765,13018,0,0,144,44,559,37850,34134,3197,45,474
"Greenwood, SC Micro Area",144000,47553,28878,27466,64,7,337,211,793,69309,50814,16151,222,2122
"Grenada, MS Micro Area",130100,45745,8902,8600,0,0,33,147,122,21474,18278,2929,29,238
"Guayama, PR Metro Area",96400,19290,16879,15866,114,0,450,104,345,68089,0,3776,63828,485
"Gulfport-Biloxi, MS Metro Area",175800,58287,180061,163913,262,193,3516,2497,9680,416839,235461,159435,7480,14463
"Guymon, OK Micro Area",146200,55682,10085,9349,74,3,236,94,329,21144,7462,7997,556,5129
"Hagerstown-Martinsburg, MD-WV Metro Area",242400,72751,138856,121691,1248,259,1704,1575,12379,295165,147406,129841,3505,14413
"Hailey, ID Micro Area",534900,81271,13733,10739,161,391,323,275,1844,25381,8110,12872,269,4130
"Hammond, LA Metro Area",193300,55274,56297,51694,158,8,709,672,3056,133953,107646,22632,1052,2623
